JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505640.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
55824.0; 69632.0; 51160.0; 101272.0; 14505632.0
